t,tf0,ts0
6718.296,872.04065,807.80164
6745.83,872.04016,808.5076
6773.364,872.0397,809.2038
6800.898,872.0392,809.89215
6828.432,872.0387,810.5721
6855.966,872.0382,811.2427
6883.5,872.03766,811.90497
6911.034,872.0372,812.5608
6938.568,872.0366,813.2053
6966.102,872.03613,813.84467
6993.636,872.0356,814.475
7021.17,872.0351,815.09784
7048.704,872.03455,815.71265
7076.238,872.03406,816.3216
7103.772,872.0335,816.9213
7131.306,872.03296,817.5157
7158.84,872.0325,818.1014
7186.374,872.0319,818.6795
7213.908,872.0314,819.25006
7241.442,872.0308,819.81635
7268.976,872.0303,820.3739
7296.51,872.0297,820.92535
7324.044,872.0292,821.47
7351.578,872.0286,822.00836
7379.112,872.0281,822.54095
7406.646,872.0275,823.0667
7434.18,872.027,823.5857
7461.714,872.02637,824.1008
7489.248,872.0258,824.6067
7516.782,872.02527,825.10944
7544.316,872.02466,825.6043
7571.85,872.0241,826.0945
7599.384,872.0235,826.57855
7626.918,872.02295,827.05774
7654.452,872.02234,827.5309
7681.986,872.0217,827.99805
7709.52,872.0212,828.4608
7737.054,872.0206,828.9175
7764.588,872.02,829.37103
7792.122,872.0194,829.8171
7819.656,872.0188,830.2591
7847.19,872.0182,830.6959
7874.724,872.0176,831.1275
7902.258,872.01697,831.55444
7929.792,872.01636,831.9773
7957.326,872.01575,832.39484
7984.86,872.01514,832.80756
8012.394,872.0145,833.21655
8039.928,872.0139,833.62036
8067.462,872.0133,834.0198
8094.996,872.01263,834.41516
8122.53,872.012,834.806
8150.064,872.01135,835.1922
8177.598,872.01074,835.5745
8205.132,872.0101,835.9527
8232.666,872.00946,836.3266
8260.2,872.0088,836.6975
8287.734,872.0082,837.06323
8315.268,872.0075,837.4253
8342.802,872.00684,837.784
8370.336,872.0062,838.1381
8397.87,872.00555,838.4892
8425.404,872.0049,838.836
8452.938,872.0042,839.1793
8480.472,872.00354,839.5192
8508.006,872.00287,839.8554
8535.54,872.0022,840.1882
8563.074,872.0015,840.5166
8590.608,872.00085,840.84314
8618.142,872.0002,841.1649
8645.676,871.9995,841.4846
8673.21,871.9988,841.7995
8700.744,871.9981,842.11273
8728.278,871.9974,842.4217
8755.812,871.9967,842.7276
8783.346,871.996,843.03046
8810.88,871.9953,843.3304
8838.414,871.99457,843.6274
8865.948,871.9939,843.92126
8893.482,871.99316,844.2122
8921.016,871.99243,844.5003
8948.55,871.99176,844.78516
8976.084,871.99097,845.0671
9003.618,871.9903,845.34644
9031.152,871.98956,845.6239
9058.686,871.98883,845.8972
9086.22,871.9881,846.1682
9113.754,871.9873,846.43634
9141.288,871.9866,846.7019
9168.822,871.98584,846.9652
9196.356,871.9851,847.2258
9223.89,871.9844,847.48376
9251.424,871.98364,847.7393
9278.958,871.98285,847.9922
9306.492,871.9821,848.2425
9334.026,871.9813,848.4907
9361.56,871.9806,848.7362
9389.094,871.9798,848.97925
9416.628,871.97906,849.22064
9444.162,871.9783,849.45874
9471.696,871.9775,849.69507
9499.23,871.97675,849.9287
9526.764,871.9759,850.1609
9554.298,871.9751,850.3902
9581.832,871.97437,850.61743
9609.366,871.9736,850.8426
9636.9,871.9728,851.0656
9664.434,871.9719,851.2865
9691.968,871.9712,851.50543
9719.502,871.97034,851.7222
9747.036,871.96954,851.93677
9774.57,871.96875,852.1494
9802.104,871.9679,852.3602
9829.638,871.9671,852.5688
9857.172,871.9663,852.77563
9884.706,871.96545,852.9803
9912.24,871.9646,853.18317
9939.774,871.9638,853.38403
9967.308,871.96295,853.5833
9994.842,871.96216,853.7803
10022.376,871.9613,853.9756
10049.91,871.96045,854.1694
10077.444,871.9596,854.3612
10104.978,871.95874,854.5516
10132.512,871.9579,854.7396
10160.046,871.95703,854.926
10187.58,871.9562,855.11084
10215.114,871.9553,855.29407
10242.648,871.95447,855.47565
10270.182,871.9536,855.65564
10297.716,871.9527,855.83386
10325.25,871.95184,856.0102
10352.784,871.9509,856.18536
10380.318,871.9501,856.35834
10407.852,871.94916,856.53046
10435.386,871.9483,856.70056
10462.92,871.94745,856.8688
10490.454,871.9465,857.0364
10517.988,871.9456,857.20184
10545.522,871.9447,857.3662
10573.056,871.94385,857.52893
10600.59,871.94293,857.69006
10628.124,871.942,857.84985
10655.658,871.9411,858.00806
10683.192,871.9402,858.1649
10710.726,871.9393,858.32025
10738.26,871.9383,858.47473
10765.794,871.9374,858.62726
10793.328,871.93646,858.77905
10820.862,871.93555,858.929
10848.396,871.9346,859.0775
10875.93,871.93365,859.2252
10903.464,871.9327,859.37103
10930.998,871.93176,859.5159
10958.532,871.9308,859.6594
10986.066,871.9298,859.80176
11013.6,871.9289,859.94244
11041.134,871.9279,860.08215
11068.668,871.927,860.2209
11096.202,871.926,860.3581
11123.736,871.925,860.49426
11151.27,871.9241,860.6291
11178.804,871.92303,860.7627
11206.338,871.92206,860.8953
11233.872,871.9211,861.02686
11261.406,871.9201,861.1571
11288.94,871.9191,861.28595
11316.474,871.9181,861.41406
11344.008,871.9171,861.54083
11371.542,871.91614,861.66693
11399.076,871.9151,861.7913
11426.61,871.9141,861.915
11454.144,871.9131,862.0374
11481.678,871.9121,862.15894
11509.212,871.9111,862.2793
11536.746,871.91003,862.39856
11564.28,871.909,862.51685
11591.814,871.90796,862.63403
11619.348,871.9069,862.7503
11646.882,871.9059,862.86566
11674.416,871.9049,862.9799
11701.95,871.9038,863.0931
11729.484,871.9028,863.20544
11757.018,871.90173,863.31696
11784.552,871.90063,863.4271
11812.086,871.8996,863.53656
11839.62,871.89856,863.645
11867.154,871.89746,863.75256
11894.688,871.89636,863.85925
11922.222,871.8953,863.9651
11949.756,871.8942,864.06976
11977.29,871.8932,864.17377
12004.824,871.8921,864.27686
12032.358,871.891,864.3789
12059.892,871.8899,864.4801
12087.426,871.8888,864.58057
12114.96,871.8877,864.6801
12142.494,871.8866,864.77893
12170.028,871.8855,864.8768
12197.562,871.8844,864.9737
12225.096,871.88324,865.06976
12252.63,871.88214,865.16534
12280.164,871.88104,865.25977
12307.698,871.8799,865.35345
12335.232,871.8788,865.4467
12362.766,871.8776,865.5388
12390.3,871.87646,865.63025
12417.834,871.87537,865.7208
12445.368,871.8742,865.81085
12472.902,871.87305,865.8998
12500.436,871.87195,865.98816
12527.97,871.8708,866.0758
12555.504,871.8696,866.1627
12583.038,871.86847,866.24866
12610.572,871.86725,866.3341
12638.106,871.86615,866.41876
12665.64,871.8649,866.5027
12693.174,871.8638,866.58594
12720.708,871.86255,866.66846
12748.242,871.8614,866.7505
12775.776,871.8602,866.8315
12803.31,871.859,866.9118
12830.844,871.85785,866.9918
12858.378,871.8566,867.0708
12885.912,871.8554,867.1493
12913.446,871.8542,867.2272
12940.98,871.853,867.3043
12968.514,871.8518,867.3806
12996.048,871.8506,867.4567
13023.582,871.84937,867.5317
13051.116,871.8481,867.6063
13078.65,871.84686,867.6803
13106.184,871.84564,867.75366
13133.718,871.84436,867.8263
13161.252,871.8432,867.89844
13188.786,871.8419,867.97
13216.32,871.8407,868.0408
13243.854,871.8394,868.1111
13271.388,871.83813,868.1808
13298.922,871.8369,868.2498
13326.456,871.83563,868.3185
13353.99,871.83435,868.3864
13381.524,871.8331,868.4539
13409.058,871.8318,868.52057
13436.592,871.83057,868.58704
13464.126,871.8292,868.6526
13491.66,871.82794,868.7178
13519.194,871.82666,868.7825
13546.728,871.8254,868.84644
13574.262,871.8241,868.91
13601.796,871.82275,868.973
13629.33,871.8215,869.0355
13656.864,871.8201,869.0975
13684.398,871.81885,869.1588
13711.932,871.8175,869.2199
13739.466,871.81616,869.2802
13767.0,871.8148,869.3401
13794.534,871.8135,869.3995
13822.068,871.8122,869.4584
13849.602,871.81085,869.51685
13877.136,871.8095,869.5747
13904.67,871.8081,869.6322
13932.204,871.80676,869.6891
13959.738,871.8054,869.7457
13987.272,871.8041,869.80164
14014.806,871.80273,869.8572
14042.34,871.80133,869.91235
14069.874,871.7999,869.96686
14097.408,871.7986,870.021
14124.942,871.7972,870.0746
14152.476,871.7958,870.12787
14180.01,871.7944,870.1807
14207.544,871.793,870.23303
14235.078,871.79156,870.285
14262.612,871.7902,870.3364
14290.146,871.7888,870.3875
14317.68,871.7874,870.4381
14345.214,871.78595,870.4884
14372.748,871.78455,870.53796
14400.282,871.78314,870.5874
14427.816,871.7817,870.63635
14455.35,871.7803,870.6849
14482.884,871.7788,870.7329
14510.418,871.7774,870.78064
14537.952,871.77594,870.828
14565.486,871.7745,870.8749
14593.02,871.773,870.9214
14620.554,871.77155,870.9675
14648.088,871.7701,871.01324
14675.622,871.7686,871.0586
14703.156,871.76715,871.1036
14730.69,871.7657,871.1482
14758.224,871.7642,871.19226
14785.758,871.7627,871.2362
14813.292,871.7612,871.2797
14840.826,871.7597,871.32275
14868.36,871.75824,871.3655
14895.894,871.7567,871.40784
14923.428,871.75525,871.4498
14950.962,871.7537,871.4914
14978.496,871.7522,871.53284
15006.03,871.7507,871.5737
15033.564,871.74915,871.6144
15061.098,871.7476,871.65454
15088.632,871.7461,871.6945
15116.166,871.74457,871.73413
15143.7,871.74304,871.7733
15171.234,871.74146,871.81226
15198.768,871.7399,871.8508
15226.302,871.73834,871.88904
15253.836,871.7368,871.927
15281.37,871.7352,871.9646
15308.904,871.73364,872.00183
15336.438,871.73206,872.0388
15363.972,871.7305,872.0754
15391.506,871.72894,872.1117
15419.04,871.7273,872.1478
15446.574,871.72577,872.1835
15474.108,871.7242,872.2188
15501.642,871.7226,872.25397
15529.176,871.72095,872.28876
15556.71,871.71936,872.32324
15584.244,871.7177,872.3575
15611.778,871.7161,872.39136
15639.312,871.7145,872.4249
15666.846,871.7128,872.4583
15694.38,871.7112,872.49133
15721.914,871.7096,872.524
15749.448,871.70795,872.5565
15776.982,871.7063,872.5887
15804.516,871.70465,872.6206
15832.05,871.70294,872.65216
15859.584,871.7013,872.68353
15887.118,871.69965,872.7146
15914.652,871.698,872.7454
15942.186,871.6963,872.77594
15969.72,871.6946,872.80615
15997.254,871.69293,872.8362
16024.788,871.6912,872.8659
16052.322,871.6896,872.8954
16079.856,871.68787,872.92456
16107.39,871.68616,872.9536
16134.924,871.68445,872.98224
16162.458,871.68274,873.01074
16189.992,871.68097,873.0389
16217.526,871.67926,873.06683
16245.06,871.67755,873.0946
16272.594,871.6758,873.122
16300.128,871.6741,873.14923
16327.662,871.6723,873.1762
16355.196,871.6706,873.2029
16382.73,871.6688,873.22943
16410.264,871.66705,873.25574
16437.799,871.6653,873.2817
16465.332,871.6635,873.3075
16492.865,871.66174,873.33307
16520.4,871.66,873.3584
16547.934,871.6582,873.3835
16575.469,871.65643,873.4083
16603.002,871.65466,873.433
16630.535,871.65283,873.45746
16658.07,871.651,873.4816
16685.604,871.64923,873.5057
16713.139,871.6474,873.5294
16740.672,871.6456,873.5529
16768.205,871.6438,873.57623
16795.74,871.64197,873.59937
16823.273,871.64014,873.6223
16850.809,871.6383,873.645
16878.342,871.6364,873.6675
16905.877,871.6346,873.68976
16933.41,871.63275,873.71185
16960.943,871.63086,873.73376
16988.479,871.629,873.7554
17016.012,871.62714,873.77686
17043.547,871.62524,873.79816
17071.08,871.6234,873.8192
17098.613,871.6215,873.8401
17126.148,871.6196,873.8608
17153.682,871.61774,873.8812
17181.217,871.61584,873.9015
17208.75,871.61395,873.92163
17236.283,871.612,873.9415
17263.818,871.6101,873.9613
17291.352,871.60815,873.98083
17318.887,871.60626,874.0002
17346.42,871.6043,874.01935
17373.953,871.6024,874.0383
17401.488,871.60046,874.0571
17429.021,871.5985,874.07574
17456.557,871.59656,874.09424
17484.09,871.5946,874.1124
17511.623,871.59265,874.13055
17539.158,871.5907,874.14844
17566.691,871.5887,874.16614
17594.227,871.58673,874.18365
17621.76,871.5847,874.2011
17649.295,871.58276,874.2183
17676.828,871.5808,874.2354
17704.361,871.57874,874.25226
17731.896,871.5768,874.269
17759.43,871.57477,874.2855
17786.965,871.57275,874.30194
17814.498,871.57074,874.3181
17842.031,871.5687,874.3342
17869.566,871.56665,874.3501
17897.1,871.56464,874.3658
17924.635,871.5626,874.38135
17952.168,871.56055,874.39685
17979.701,871.5585,874.41205
18007.236,871.5564,874.4271
18034.77,871.5544,874.44214
18062.305,871.5523,874.4569
18089.838,871.55023,874.47156
18117.371,871.5481,874.4861
18144.906,871.546,874.5004
18172.44,871.54395,874.5146
18199.975,871.5419,874.5286
18227.508,871.53973,874.5425
18255.043,871.5376,874.5563
18282.576,871.5355,874.5698
18310.11,871.5334,874.5833
18337.645,871.53125,874.5966
18365.178,871.5291,874.6098
18392.713,871.52704,874.6228
18420.246,871.52484,874.6357
18447.78,871.5227,874.64844
18475.314,871.52057,874.6611
18502.848,871.5184,874.6735
18530.383,871.51624,874.68585
18557.916,871.51404,874.69806
18585.45,871.51184,874.71014
18612.984,871.5097,874.72205
18640.518,871.5075,874.7339
18668.053,871.5053,874.74554
18695.586,871.5031,874.757
18723.12,871.5009,874.76843
18750.654,871.49866,874.7797
18778.188,871.49646,874.79083
18805.723,871.49426,874.8019
18833.256,871.49207,874.81274
18860.79,871.4898,874.8235
18888.324,871.48755,874.83417
18915.857,871.4853,874.84467
18943.393,871.48303,874.85504
18970.926,871.4808,874.8653
18998.46,871.4785,874.8754
19025.994,871.47626,874.8855
19053.527,871.47394,874.8954
19081.062,871.4717,874.90515
19108.596,871.4694,874.9148
19136.13,871.4671,874.9243
19163.664,871.4648,874.9337
19191.197,871.46246,874.94305
19218.732,871.46014,874.9522
19246.266,871.4578,874.9613
19273.8,871.4555,874.9703
19301.334,871.4532,874.9791
19328.867,871.45087,874.9878
19356.402,871.4485,874.99646
19383.936,871.44617,875.005
19411.47,871.4438,875.0133
19439.004,871.4414,875.0216
19466.537,871.4391,875.0298
19494.072,871.4367,875.0379
19521.605,871.4343,875.04584
19549.14,871.4319,875.0537
19576.674,871.42957,875.06146
19604.207,871.4271,875.0691
19631.742,871.42474,875.0766
19659.275,871.4223,875.084
19686.81,871.41986,875.0913
19714.344,871.4174,875.0985
19741.879,871.41504,875.10565
19769.412,871.4126,875.1127
19796.945,871.41016,875.11957
19824.48,871.40765,875.1264
19852.014,871.4052,875.13306
19879.549,871.4028,875.1397
19907.082,871.40027,875.14624
19934.615,871.3978,875.15265
19962.15,871.3954,875.15894
19989.684,871.3928,875.16516
20017.219,871.3903,875.17126
20044.752,871.3879,875.1773
20072.285,871.3853,875.18317
20099.82,871.3828,875.189
20127.354,871.3803,875.1948
20154.889,871.3778,875.2004
20182.422,871.37524,875.206
20209.955,871.3727,875.2114
20237.49,871.3701,875.2168
20265.023,871.3676,875.22205
20292.559,871.365,875.22723
20320.092,871.3624,875.23236
20347.627,871.35986,875.23737
20375.16,871.3573,875.24225
20402.693,871.35474,875.2471
20430.229,871.3521,875.2518
20457.762,871.3495,875.2565
20485.297,871.3469,875.261
20512.83,871.3443,875.26544
20540.363,871.3417,875.2699
20567.898,871.33905,875.2742
20595.432,871.3364,875.2784
20622.967,871.33374,875.28253
20650.5,871.33105,875.28656
20678.033,871.3284,875.2905
20705.568,871.32574,875.29443
20733.102,871.3231,875.2982
20760.637,871.32043,875.3019
20788.17,871.31775,875.30554
20815.703,871.31506,875.3091
20843.238,871.3124,875.31256
20870.771,871.3097,875.316
20898.307,871.30695,875.3193
20925.84,871.30426,875.3225
20953.373,871.3015,875.3256
20980.908,871.29877,875.32874
21008.441,871.296,875.3317
21035.977,871.2933,875.33466
21063.51,871.2905,875.33746
21091.045,871.2877,875.3402
21118.578,871.285,875.34296
21146.111,871.2822,875.3455
21173.646,871.2794,875.3481
21201.18,871.2766,875.3506
21228.715,871.2738,875.3529
21256.248,871.27106,875.3552
21283.781,871.2682,875.3575
21311.316,871.2654,875.3596
21338.85,871.2626,875.3617
21366.385,871.25977,875.3638
21393.918,871.2569,875.3657
21421.451,871.254,875.36755
21448.986,871.2512,875.3694
21476.52,871.2483,875.3711
21504.055,871.2455,875.37274
21531.588,871.24255,875.3744
21559.121,871.2397,875.37585
21586.656,871.2368,875.3773
21614.19,871.2339,875.3787
21641.725,871.23096,875.38
21669.258,871.2281,875.3812
21696.793,871.22516,875.38245
21724.326,871.2222,875.38354
21751.86,871.2193,875.3846
21779.395,871.2163,875.38556
21806.928,871.2134,875.38654
21834.463,871.2104,875.3873
21861.996,871.20746,875.3881
21889.53,871.20447,875.38885
21917.064,871.2015,875.38947
21944.598,871.1985,875.3901
21972.133,871.1955,875.3906
21999.666,871.1925,875.391
22027.2,871.18945,875.3914
22054.734,871.18646,875.3918
22082.268,871.1834,875.392
22109.803,871.1804,875.3922
22137.336,871.17737,875.3924
22164.87,871.1743,875.39246
22192.404,871.1712,875.39246
22219.938,871.16815,875.39246
22247.473,871.16504,875.39233
22275.006,871.162,875.39215
22302.54,871.1589,875.39197
22330.074,871.15576,875.3916
22357.607,871.15265,875.3913
22385.143,871.14954,875.39087
22412.676,871.1464,875.39044
22440.21,871.1433,875.3899
22467.744,871.14014,875.38934
22495.277,871.137,875.3887
22522.812,871.13385,875.388
22550.346,871.1307,875.3872
22577.88,871.1275,875.3864
22605.414,871.1243,875.38556
22632.947,871.1211,875.38464
22660.482,871.1179,875.38367
22688.016,871.11475,875.38257
22715.55,871.1115,875.38153
22743.084,871.1083,875.3804
22770.617,871.10504,875.37915
22798.152,871.1018,875.37787
22825.686,871.0986,875.3766
22853.22,871.09534,875.3752
22880.754,871.09204,875.3738
22908.287,871.0888,875.3723
22935.822,871.08545,875.3708
22963.355,871.08215,875.3692
22990.89,871.0789,875.36755
23018.424,871.0756,875.36584
23045.957,871.07227,875.36414
23073.492,871.069,875.3623
23101.025,871.0656,875.3605
23128.56,871.06226,875.3586
23156.094,871.05896,875.3566
23183.629,871.05554,875.3546
23211.162,871.0522,875.35254
23238.695,871.0488,875.3504
23266.23,871.0454,875.34827
23293.764,871.042,875.34607
23321.299,871.03864,875.3438
23348.832,871.0352,875.34155
23376.365,871.03186,875.3392
23403.9,871.0284,875.33673
23431.434,871.02496,875.3343
23458.969,871.0215,875.3318
23486.502,871.01807,875.3292
23514.035,871.0146,875.32666
23541.57,871.0111,875.324
23569.104,871.0076,875.3213
23596.639,871.00415,875.31854
23624.172,871.0006,875.31573
23651.705,870.99713,875.31287
23679.24,870.9936,875.30994
23706.773,870.99005,875.307
23734.309,870.9865,875.3041
23761.842,870.983,875.301
23789.377,870.97943,875.298
23816.91,870.9759,875.2948
23844.443,870.9723,875.2917
23871.979,870.9687,875.28845
23899.512,870.9651,875.28516
23927.047,870.96155,875.28186
23954.58,870.9579,875.2785
23982.113,870.9543,875.2751
24009.648,870.9507,875.27167
24037.182,870.947,875.2682
24064.717,870.94336,875.26465
24092.25,870.9397,875.26105
24119.783,870.93604,875.25745
24147.318,870.9324,875.2538
24174.852,870.9287,875.25006
24202.387,870.925,875.2463
24229.92,870.92126,875.2425
24257.453,870.91754,875.23865
24284.988,870.9138,875.2348
24312.521,870.91016,875.2309
24340.057,870.9064,875.22687
24367.59,870.9026,875.2229
24395.123,870.89886,875.2188
24422.658,870.8951,875.2147
24450.191,870.8913,875.21063
24477.727,870.8875,875.2064
24505.26,870.88367,875.2022
24532.795,870.8799,875.19794
24560.328,870.8761,875.19366
24587.861,870.87225,875.1893
24615.396,870.8684,875.18494
24642.93,870.86456,875.1804
24670.465,870.86066,875.176
24697.998,870.8568,875.1715
24725.531,870.8529,875.16693
24753.066,870.84906,875.16235
24780.6,870.8451,875.1577
24808.135,870.8412,875.1531
24835.668,870.8373,875.1483
24863.201,870.8334,875.1436
24890.736,870.8294,875.1388
24918.27,870.82544,875.13403
24945.805,870.82153,875.12915
24973.338,870.8175,875.1242
25000.871,870.8136,875.11926
25028.406,870.8095,875.1143
25055.94,870.80554,875.10925
25083.475,870.8015,875.10425
25111.008,870.7975,875.0991
25138.543,870.79346,875.094
25166.076,870.7894,875.0888
25193.61,870.78534,875.08356
25221.145,870.7813,875.07837
25248.678,870.7772,875.07306
25276.213,870.77313,875.06775
25303.746,870.76904,875.0624
25331.28,870.7649,875.05695
25358.814,870.7608,875.0515
25386.348,870.75665,875.0461
25413.883,870.7525,875.0405
25441.416,870.74835,875.035
25468.95,870.7442,875.0294
25496.484,870.74005,875.0238
25524.018,870.73584,875.0181
25551.553,870.7316,875.01245
25579.086,870.7274,875.0067
25606.62,870.7232,875.001
25634.154,870.719,874.9952
25661.688,870.7147,874.9893
25689.223,870.7105,874.98346
25716.756,870.70624,874.97754
25744.29,870.70197,874.97156
25771.824,870.69763,874.96564
25799.357,870.69336,874.9596
25826.893,870.6891,874.95355
25854.426,870.68475,874.9475
